                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.84208,                0.42582,                 1.0817,                0.94006,                0.96113,                 0.9523,                0.75256,                0.84529,                0.30599,                 1.1761,             9.9128e-05,             9.9128e-05,             9.9128e-05
                     36,                0.83861,                 0.4241,                 1.0709,                0.97758,                0.93563,                0.95354,                 0.7499,                0.84757,                0.30455,                 1.1745,             9.3465e-05,             9.3465e-05,             9.3465e-05
                     37,                0.83495,                0.42437,                 1.0784,                0.92443,                0.96515,                0.95596,                0.75489,                0.84587,                0.30256,                 1.1752,             8.7802e-05,             8.7802e-05,             8.7802e-05
                     38,                0.83329,                0.41673,                   1.07,                0.96597,                0.94056,                0.95215,                 0.7468,                0.85549,                0.30357,                 1.1748,             8.2139e-05,             8.2139e-05,             8.2139e-05
                     39,                0.83963,                0.41756,                  1.074,                0.92842,                0.96821,                0.96039,                0.75826,                0.84176,                0.30184,                 1.1699,             7.6476e-05,             7.6476e-05,             7.6476e-05
                     40,                0.83079,                0.41039,                 1.0677,                0.93681,                0.95482,                0.95226,                 0.7515,                0.84473,                 0.3013,                 1.1708,             7.0814e-05,             7.0814e-05,             7.0814e-05
                     41,                0.78654,                 0.3003,                 1.1093,                0.93275,                0.97811,                 0.9552,                0.75486,                0.84659,                  0.299,                 1.1748,             6.5151e-05,             6.5151e-05,             6.5151e-05
                     42,                0.77671,                0.29318,                 1.1068,                0.93796,                  0.957,                0.95124,                0.75319,                0.84688,                0.30002,                 1.1772,             5.9488e-05,             5.9488e-05,             5.9488e-05
                     43,                0.77051,                0.29245,                 1.0983,                0.93489,                0.97469,                0.95273,                0.75472,                0.84146,                 0.3006,                 1.1701,             5.3825e-05,             5.3825e-05,             5.3825e-05
                     44,                0.76586,                0.29158,                 1.0962,                0.93389,                0.97067,                0.94689,                  0.745,                0.85778,                 0.3029,                 1.1816,             4.8162e-05,             4.8162e-05,             4.8162e-05
                     45,                0.76143,                0.28644,                 1.0936,                0.92684,                0.97369,                0.94745,                  0.752,                0.84342,                0.29603,                 1.1768,               4.25e-05,               4.25e-05,               4.25e-05
                     46,                0.75689,                0.28267,                 1.0916,                0.93635,                0.97274,                0.94938,                0.75302,                0.84633,                0.29399,                 1.1767,             3.6837e-05,             3.6837e-05,             3.6837e-05
                     47,                 0.7476,                0.27958,                 1.0844,                0.92797,                0.97479,                0.95022,                0.74919,                0.85542,                 0.2974,                 1.1798,             3.1174e-05,             3.1174e-05,             3.1174e-05
                     48,                0.74444,                0.27916,                 1.0808,                0.92694,                 0.9714,                0.95212,                0.75245,                0.84845,                0.29672,                 1.1783,             2.5511e-05,             2.5511e-05,             2.5511e-05
                     49,                0.73638,                0.27392,                 1.0785,                0.93699,                0.97258,                0.95288,                0.75457,                0.84745,                0.29381,                 1.1783,             1.9848e-05,             1.9848e-05,             1.9848e-05
                     50,                0.73646,                0.27386,                 1.0763,                0.93206,                0.97505,                0.95216,                0.75628,                0.84867,                0.29323,                 1.1781,             1.4186e-05,             1.4186e-05,             1.4186e-05
