                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86013,                0.44142,                 1.0855,                0.93133,                0.96694,                0.95864,                0.75027,                0.87432,                0.31936,                 1.1907,             9.4922e-05,             9.4922e-05,             9.4922e-05
                      2,                0.85517,                0.43868,                 1.0817,                 0.9339,                0.97394,                 0.9556,                0.75295,                0.85132,                0.30775,                 1.1748,             9.6079e-05,             9.6079e-05,             9.6079e-05
